DESCRIPTION,LOCATION,PRICE
2 Bedroom Flat & Apartment,"Oniru, Victoria Island","N4,500,000 per year"
4 Bedroom Duplex,"Orchid , Ikota, Lekki","N6,000,000 per year"
3 Bedroom Terrace,"Ikota, Lekki","N3,500,000 per year"
5 Bedroom Duplex,"Ikate, Ikate Elegushi, Lekki","N5,000,000 per year"
5 Bedroom Duplex,"Osapa, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Chevron, Chevron Drive, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Parkview , Parkview Estate, Ikoyi","N8,000,000 per year"
3 Bedroom Terrace,"Yusuf, Oniru, Victoria Island","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N10,000,000 per year"
5 Bedroom Duplex,"Chevron Drive, Lekki","N10,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N160,000,000 per year"
5 Bedroom Duplex,"Chevy View Estate, Chevron Drive, Lekki","N6,000,000 per year"
4 Bedroom Duplex,"G.R.A Ikeja,  Ikeja G.R.A, Ikeja","N8,000,000 per year"
5 Bedroom Duplex,"Osapa London, Osapa, Lekki","N7,000,000 per year"
4 Bedroom Duplex,"Osborne, Ikoyi, Ikoyi","N10,000,000 per year"
5 Bedroom Duplex,"Banana Island, Ikoyi","N15,000,000 per year"
5 Bedroom Terrace,"Banana Island, Ikoyi","N15,000,000 per year"
2 Bedroom Flat & Apartment,"Lekki  Phase 1, Lekki Phase 1, Lekki","N5,500,000 per year"
5 Bedroom Duplex,"Osapa London, Osapa, Lekki","N6,000,000 per year"
3 Bedroom Duplex,"By Lekki Conservation, Chevron Drive, Lekki","N3,500,000 per year"
5 Bedroom Duplex,"Osapa, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Osapa London, Osapa, Lekki","N4,000,000 per year"
5 Bedroom Flat & Apartment,Ikoyi,"N12,000,000 per year"
4 Bedroom Terrace,"Lekki, Ikate Elegushi, Lekki","N6,200,000 per year"
2 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
4 Bedroom Duplex,"Buraimo Kenku Street Off Oyin Jolayemi Street , Victoria Island","N15,000,000 per year"
6 Bedroom Duplex,"Medical Guild Road Off Olabode, Victoria Island","N15,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N8,000,000 per year"
2 Bedroom Flat & Apartment,"Mojisola , Ogba, Ikeja","N900,000 per year"
Flat & Apartment,"Jakande, Lekki","N1,250,000 per year"
5 Bedroom Duplex,"Olori Mojishola Onikoyi, Ikoyi","N13,000,000 per year"
4 Bedroom Flat & Apartment,"Olu Holloway Crescent, Ikoyi","N16,000,000 per year"
4 Bedroom Duplex,Ajah,"N2,200,000 per year"
4 Bedroom Duplex,"Ikoyi, Banana Island, Ikoyi","N20,000,000 per year"
4 Bedroom Terrace,"Lekki, Ikate Elegushi, Lekki","N7,000,000 per year"
5 Bedroom Duplex,"Parkview Estate, Ikoyi","N16,000,000 per year"
5 Bedroom House,"Victory Park Estate, Osapa, Lekki","N9,000,000 per year"
4 Bedroom Terrace,"Park View Estate, Parkview Estate, Ikoyi","N7,000,000 per year"
